dataset,code,name
AFRREO,All_Indicators,All Indicators
AFRREO,BCA_BP6_GDP_PT,"Current Account, Total, Net, Percent of GDP, Percent"
AFRREO,BFD_BP6_GDP_PT,"Net lending (+) / net borrowing (-) (balance from financial account), Direct investment, Percent of GDP, Percent"
AFRREO,BG_BP6_GDP_PT,"Goods and Services, Goods, Net, Percent of GDP, Percent"
AFRREO,BMGS_BP6_GDP_PT,"Goods and Services, Debit, Percent of GDP, Percent"
AFRREO,BXGS_BP6_GDP_PT,"Goods and Services, Credit, Percent of GDP, Percent"
AFRREO,D_G_GDP_PT,"Official Debt, Debtor, Percent of GDP, Percent"
AFRREO,ENEER_IX,"Exchange Rates, Nominal Effective Exchange Rate , based on Consumer Price Index, Index"
AFRREO,EREER_IX,"Exchange Rates, Real Effective Exchange Rate , based on Consumer Price Index, Index"
AFRREO,FDSAOP_GDP_PT,"Claims on Private Sector, Percent of GDP, Percent"
AFRREO,FDSAOP_PC_PP_PT,"Claims on Private Sector, Percent change, Previous period, Percent"
AFRREO,FMB_GDP_PT,"Broad Money, Percent of GDP, Percent"
AFRREO,FMB_PC_PP_PT,"Broad Money, Percent change, Previous period, Percent"
AFRREO,GGR_G01_GDP_PT,"Revenue (Gen. Govt.), Percent of GDP, Percent"
AFRREO,GGXCNLXG_G01_GDP_PT,"Net lending/borrowing excluding Grants (Gen. Govt.), Percent of GDP, Percent"
AFRREO,GGXCNL_G01_GDP_PT,"Net lending/borrowing (Gen. Govt.), Percent of GDP, Percent"
AFRREO,GGXWDG_G01_GDP_PT,"Gross debt position (Gen. Govt.), Percent of GDP, Percent"
AFRREO,GGX_G01_GDP_PT,"Total Expenditure (Gen. Govt.), Percent of GDP, Percent"
AFRREO,IAR_BP6_MI_MH,"Reserves, Net, Months of imported goods and services, Months"
AFRREO,NGDPRPC_PC_PP_PT,"GDP per Capita, Real, Percent change, Previous period, Percent"
AFRREO,NGDPXO_R_PC_PP_PT,"Non-Oil GDP, Real, Percent change, Previous period, Percent"
AFRREO,NGDP_R_PC_PP_PT,"Gross Domestic Product, Real, Percent change, Previous period, Percent"
AFRREO,NGS_GDP_PT,"Gross National Saving, Nominal, Percent of GDP, Percent"
AFRREO,NI_GDP_PT,"Gross Capital Formation, Nominal, Percent of GDP, Percent"
AFRREO,PCPI_EOP_PC_PP_PT,"Consumer Prices, End of Period, Percent change, Previous period, Percent"
AFRREO,PCPI_PC_PP_PT,"Consumer Prices, All items, Percent change, Previous period, Percent"
AFRREO,TTT_IX,"Terms of Trade for Goods, Index"
APDREO,All_Indicators,All Indicators
APDREO,BCA_GDP_BP6,"Balance of Payments, Current Account, Total, Net(BPM6), percent of GDP in U.S. dollars"
APDREO,GGXCNL_GDP,"General government net lending/borrowing, percent of fiscal year GDP"
APDREO,LUR,Unemployment rate
APDREO,NGDP_RPCH,"Gross domestic product, constant prices, National Currency, percent change"
APDREO,NGDP_R_PPP_PC_PCH,"Gross domestic product, constant prices, purchasing power parity, per capita, percent change "
APDREO,PCPIE_PCH,"Consumer Prices, end of period, percent change"
APDREO,PCPI_PCH,"Consumer Prices, period average, percent change"
BOP,BACK_BP6_EUR,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), Euros"
BOP,BACK_BP6_USD,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
BOP,BACK_BP6_XDC,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), National Currency"
BOP,BAXEF_BP6_EUR,"Supplementary Items, Arrears not in Exceptional Financing, Euros"
BOP,BAXEF_BP6_USD,"Supplementary Items, Arrears not in Exceptional Financing, US Dollars"
BOP,BAXEF_BP6_XDC,"Supplementary Items, Arrears not in Exceptional Financing, National Currency"
BOP,BCAXF_BP6_EUR,"Supplementary Items, Current Account, Net (Excluding Exceptional Financing), Euros"
BOP,BCAXF_BP6_USD,"Supplementary Items, Current Account, Net (Excluding Exceptional Financing), US Dollars"
BOP,BCAXF_BP6_XDC,"Supplementary Items, Current Account, Net (Excluding Exceptional Financing), National Currency"
BOP,BCA_BP6_EUR,"Current Account, Total, Net, Euros"
BOP,BCA_BP6_USD,"Current Account, Total, Net, US Dollars"
BOP,BCA_BP6_XDC,"Current Account, Total, Net, National Currency"
BOP,BEFDDAAI_BP6_EUR,"Exceptional Financing, Direct Investment, Debt Instruments, Accumulations of Arrears, Original Interest/Coupon, Euros"
BOP,BEFDDAAI_BP6_USD,"Exceptional Financing, Direct Investment, Debt Instruments, Accumulations of Arrears, Original Interest/Coupon, US Dollars"
BOP,BEFDDAAI_BP6_XDC,"Exceptional Financing, Direct Investment, Debt Instruments, Accumulations of Arrears, Original Interest/Coupon, National Currency"
BOP,BEFDDAAPI_BP6_EUR,"Exceptional Financing, Direct Investment, Debt Instruments, Accumulations of Arrears, Penalty Interest, Euros"
BOP,BEFDDAAPI_BP6_USD,"Exceptional Financing, Direct Investment, Debt Instruments, Accumulations of Arrears, Penalty Interest, US Dollars"
BOP,BEFDDAAPI_BP6_XDC,"Exceptional Financing, Direct Investment, Debt Instruments, Accumulations of Arrears, Penalty Interest, National Currency"
BOP,BEFDDAAP_BP6_EUR,"Exceptional Financing, Direct Investment, Debt Instruments, Accumulations of Arrears, Principal, Euros"
